"","Region","Value.properties.Country","State","Count"
"1","Acadia Parish","USA","LA",1
"2","Accomack County","USA","VA",2
"3","Ada County","USA","ID",1
"4","Adair County","USA","KY",1
"5","Adair County","USA","MO",1
"6","Adams County","USA","CO",1
"7","Adams County","USA","IL",1
"8","Adams County","USA","IN",1
"9","Adams County","USA","MS",1
"10","Adams County","USA","NE",1
"11","Adams County","USA","PA",1
"12","Addison County","USA","VT",1
"13","Aiken County","USA","SC",1
"14","Alachua County","USA","FL",1
"15","Alamance County","USA","NC",3
"16","Alameda County","USA","CA",14
"17","Alamosa County","USA","CO",1
"18","Albany County","USA","NY",4
"19","Albany County","USA","WY",1
"20","Albemarle County","USA","VA",1
"21","Alberta","Canada","AB",13
"22","Alcorn County","USA","MS",1
"23","Aleutians West Census Area","USA","AK",1
"24","Alexandria city","USA","VA",1
"25","Alger County","USA","MI",1
"26","Allegan County","USA","MI",1
"27","Allegany County","USA","MD",2
"28","Allegany County","USA","NY",3
"29","Allegheny County","USA","PA",14
"30","Allen County","USA","IN",1
"31","Allen County","USA","OH",1
"32","Allen Parish","USA","LA",1
"33","Alpena County","USA","MI",1
"34","Amador County","USA","CA",1
"35","Anchorage Municipality","USA","AK",1
"36","Anderson County","USA","SC",2
"37","Anderson County","USA","TN",1
"38","Anderson County","USA","TX",1
"39","Andrews County","USA","TX",1
"40","Androscoggin County","USA","ME",2
"41","Angelina County","USA","TX",1
"42","Anne Arundel County","USA","MD",3
"43","Anoka County","USA","MN",3
"44","Anson County","USA","NC",1
"45","Appling County","USA","GA",1
"46","Appomattox County","USA","VA",1
"47","Arapahoe County","USA","CO",3
"48","Arlington County","USA","VA",1
"49","Armstrong County","USA","PA",1
"50","Aroostook County","USA","ME",4
"51","Ashland County","USA","OH",1
"52","Ashland County","USA","WI",1
"53","Ashley County","USA","AR",1
"54","Ashtabula County","USA","OH",1
"55","Atchison County","USA","KS",1
"56","Athens County","USA","OH",1
"57","Atlantic County","USA","NJ",3
"58","Atoka County","USA","OK",1
"59","Audrain County","USA","MO",1
"60","Austin County","USA","TX",1
"61","Australian Capital Territory","Australia",NA,1
"62","Avery County","USA","NC",1
"63","Avoyelles Parish","USA","LA",1
"64","Baker County","USA","OR",1
"65","Baldwin County","USA","GA",1
"66","Baltimore city","USA","MD",1
"67","Baltimore County","USA","MD",7
"68","Bannock County","USA","ID",1
"69","Barnes County","USA","ND",1
